Cluster,MappedCluster,TrueLabel,Matched
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
-1,Noise,12.0,0
