Cluster,MappedCluster,TrueLabel,Matched
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
1,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
0,12.0,12.0,1
